corpus-id	filename	xmlid	author-name	title	author-birth	author-death	author-gender	author-ids	reference-year	first-edition	digital-edition	print-edition	provenance	title-ids	language	numwords	subgenre	narrative-perspective	size-category	reprint-count	time-slot	author_wikidata_id	work_wikidata_id
ELTeC-deu	DEU088	DEU088	Fontane, Theodor	Mathilde Möhring	1819	1898	M	http://d-nb.info/gnd/118534262	1906	1906		1973			de	40323			short	high	T4	Q76632	Q1634107
ELTeC-deu	DEU080	DEU080	Keyserling, Eduard von	Dumala	1855	1918	M	http://d-nb.info/gnd/118561812	1907	1907		1922			de	37961			short	low	T4	Q77494	Q1264876
ELTeC-deu	DEU089	DEU089	Wille, Bruno	Die Abendburg	1860	1928	M	http://d-nb.info/gnd/11863318X	1909	1909		1909			de	178800			long	low	T4	Q97648	Q111239476
ELTeC-deu	DEU084	DEU084	May, Karl	Ardistan und Dschinnistan II	1842	1912	M	http://d-nb.info/gnd/118818651	1909	1909		1909			de	205246			long	high	T4	Q22714	Q109390780
ELTeC-deu	DEU079	DEU079	Rilke, Rainer Maria	Die Aufzeichnungen des Malte Laurids Brigge	1875	1926	M	http://d-nb.info/gnd/118601024	1910	1910					de	70411			medium	high	T4	Q76483	Q968544
ELTeC-deu	DEU097	DEU097	Keyserling, Eduard von	Wellen	1855	1918	M	http://d-nb.info/gnd/118561812	1911	1911		1922			de	54745			medium	high	T4	Q77494	Q2557617
ELTeC-deu	DEU090	DEU090	              	Von Paul zu Pedro	1871	1918	F	http://d-nb.info/gnd/118600044	1912	1912		1976			de	25015			short	high	T4	Q71429	Q111239626
ELTeC-deu	DEU098	DEU098	              	Herrn Dames Aufzeichnungen	1871	1918	F	http://d-nb.info/gnd/118600044	1913	1913		1976			de	41778			short	high	T4	Q71429	Q111239547
ELTeC-deu	DEU083	DEU083	Sack, Gustav	Paralyse	1885	1916	M	http://d-nb.info/gnd/118750607	1914	1913/1914					de	23323			short	low	T4	Q1556344	Q111239601
ELTeC-deu	DEU085	DEU085	Ganghofer, Ludwig	Der Ochsenkrieg	1855	1920	M	http://d-nb.info/gnd/118537490	1914	1914		1959			de	212235			long	high	T4	Q77475	Q23307587
ELTeC-deu	DEU099	DEU099	Christ, Lena	Mathias Bichler	1881	1920	F	http://d-nb.info/gnd/118520555	1914	1914		1972			de	81921			medium	high	T4	Q77925	Q111239592
ELTeC-deu	DEU096	DEU096	Meyrink, Gustav	Der Golem	1868	1932	M	http://d-nb.info/gnd/118582046	1915	1915		1917			de	90790			medium	high	T4	Q78511	Q673861
ELTeC-deu	DEU082	DEU082	Braun, Lily	Lebenssucher	1865	1916	F	http://d-nb.info/gnd/11867353X	1915	1915		1922			de	142219			long	low	T4	Q71372	Q111239585
ELTeC-deu	DEU091	DEU091	Schnitzler, Arthur	Casanovas Heimfahrt	1862	1931	M	http://d-nb.info/gnd/118609807	1918	1918		1961			de	43407			short	high	T4	Q44331	Q946444
ELTeC-deu	DEU095	DEU095	Ball, Hugo	Flammetti	1886	1927	M	http://d-nb.info/gnd/118506234	1918	1918		1975			de	58233			medium	low	T4	Q70989	Q105624761
ELTeC-deu	DEU078	DEU078	Essig, Hermann	Der Taifun	1878	1918	M	http://d-nb.info/gnd/118531212	1919	1919		1919			de	118751			long	low	T4	Q1611018	Q111239472
